instnm,State abbreviation (HD2020),Percent admitted - total (DRVADM2020),Graduation rate  total cohort (DRVGR2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Core revenues  total dollars (GASB) (DRVF2020),Student service expenses as a percent of total core expenses (GASB) (DRVF2020),Student-to-faculty ratio (EF2020D),Full-time fall 2019 cohort (EF2020D),Percent of full-time first-time undergraduates awarded any financial aid (SFA1920),Percent of full-time first-time undergraduates awarded Pell grants (SFA1920),Published in-state tuition and fees 2020-21 (IC2020_AY),Published out-of-state tuition and fees 2020-21 (IC2020_AY),Admission test scores (ADM2020),ACT Composite 75th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),Total men (EF2020  All students total),Total women (EF2020  All students total),Total  enrollment (DRVEF2020)
Florida State University,FL,32,84,81,86,1255003960,5,21,7056,96,25,5656,18786,1,31,680,670,18358,25211,43569
University of Minnesota-Duluth,MN,79,61,58,65,215733040,10,17,2029,90,21,13576,18776,1,26,600,640,5174,5101,10275
SUNY College at Geneseo,NY,61,78,75,80,108990343,10,17,1226,87,27,8856,18766,5,29,650,660,1772,3139,4911
The University of Texas Rio Grande Valley,TX,82,47,39,54,630503196,6,21,4477,95,70,8917,18733,1,22,570,505,13066,19375,32441
California State University-Long Beach,CA,42,73,68,77,696702501,9,24,5066,80,50,6834,18714,1,26,620,620,16857,23212,40069
California State University-Los Angeles,CA,76,52,46,57,533780608,6,25,3229,95,78,6781,18661,1,20,530,530,10769,15976,26745
SUNY Morrisville,NY,77,38,32,45,68507468,9,14,106,95,66,8740,18650,1,23,530,530,1133,1353,2486
SUNY Oneonta,NY,63,76,74,77,132566755,9,16,1451,87,36,8740,18650,1,25,560,561,2407,4311,6718
Alabama A & M University,AL,90,29,20,36,156401753,18,18,1688,89,69,10024,18634,1,20,520,500,2302,3675,5977
SUNY Cortland,NY,52,67,57,73,144641903,9,16,1207,85,27,8677,18587,5,26,610,610,2935,3897,6832
SUNY College at Oswego,NY,69,65,61,68,169181783,12,16,1415,98,44,8651,18561,5,26,600,590,3555,4081,7636
Sam Houston State University,TX,92,58,51,61,449328072,10,21,2858,88,45,8736,18552,1,23,570,550,7940,13972,21912
SUNY Brockport,NY,58,66,61,69,166675832,9,16,1077,94,43,8624,18534,5,25,580,580,3031,4561,7592
California State University-Fresno,CA,90,58,51,62,464923357,12,23,3279,88,62,6643,18523,1,21,560,540,10100,15397,25497
SUNY College of Agriculture and Technology at Cobleskill,NY,80,43,39,47,63495714,13,16,196,97,56,8591,18501,5,25,560,550,905,1174,2079
SUNY College at Plattsburgh,NY,61,67,61,72,126556539,13,15,960,95,46,8574,18484,1,25,590,580,1993,3116,5109
SUNY Maritime College,NY,73,72,72,70,56087808,13,16,344,78,21,8522,18432,1,26,610,620,1435,236,1671
Lamar University,TX,83,37,32,40,224330356,5,19,1192,85,51,8591,18407,5,23,580,560,5380,11257,16637
SUNY at Fredonia,NY,72,62,56,67,105354236,10,14,999,97,48,8492,18402,5,26,610,600,1647,2408,4055
Murray State University,KY,77,53,49,56,158956158,16,17,1295,99,38,9168,18348,5,27,620,610,3500,5949,9449
SUNY Polytechnic Institute,NY,73,54,53,57,728834800,2,13,404,96,42,8427,18337,5,29,660,690,1795,1249,3044
State University of New York at New Paltz,NY,62,76,73,77,162255829,12,15,1124,83,37,8416,18326,1,29,630,630,2724,4765,7489
Farmingdale State College,NY,60,53,50,59,169840829,11,19,781,74,39,8395,18305,1,24,570,580,5835,4183,10018
Delaware State University,DE,39,48,42,51,141831713,11,16,1107,97,55,8358,18280,1,22,520,490,1494,3245,4739
University of South Carolina-Lancaster,SC,75,22,21,23,18212348,15,16,328,97,45,7558,18238,1,20,550,540,710,1100,1810
University of South Carolina-Salkehatchie,SC,85,27,23,29,9774235,22,14,216,97,56,7558,18238,1,18,500,500,322,556,878
University of South Carolina-Sumter,SC,72,30,23,38,14560659,21,15,252,98,52,7558,18238,1,20,580,540,568,819,1387
University of South Carolina-Union,SC,84,29,30,27,7197558,13,15,144,98,64,7558,18238,1,18,520,500,477,594,1071
Texas Woman's University,TX,94,48,35,49,255066803,8,19,1277,95,53,8255,18071,5,22,580,560,2022,14411,16433
Concord University,WV,91,38,32,42,30672191,9,16,366,98,54,8385,18037,5,22,550,520,664,1143,1807
Wichita State University,KS,80,48,43,54,386698473,10,18,1631,90,35,8433,17798,1,27,620,630,6388,8611,14999
University of Akron Main Campus,OH,73,48,47,50,325881643,5,16,2669,95,35,11881,17765,1,25,610,620,8131,7963,16094
Florida Agricultural and Mechanical University,FL,33,55,43,63,302139016,4,14,1291,95,65,5785,17725,1,24,590,560,3163,6021,9184
Angelo State University,TX,78,43,37,48,160354027,8,21,1424,92,50,7907,17723,5,23,570,550,4229,6546,10775
Kennesaw State University,GA,83,47,42,52,501789746,9,22,6118,92,34,6436,17690,1,25,610,590,20416,20765,41181
Valdosta State University,GA,78,40,36,44,156934936,12,20,1524,97,57,6583,17638,1,23,590,550,3924,8380,12304
Governors State University,IL,48,24,23,25,105927902,8,11,231,90,70,10108,17620,1,21,530,520,1547,3103,4650
University of West Georgia,GA,78,44,37,49,189848373,9,19,1777,94,51,6521,17576,1,22,580,510,4265,9154,13419
Georgia Southern University,GA,91,54,47,60,386076799,9,22,4172,95,38,6485,17539,5,24,600,570,10903,16046,26949
Framingham State University,MA,79,61,59,61,106021016,13,13,772,95,47,11380,17460,5,25,570,560,1822,3054,4876
Tarleton State University,TX,58,46,39,50,469284527,8,21,1981,92,37,8276,17448,1,23,570,550,5060,8956,14016
Florida Atlantic University,FL,75,56,52,59,591560435,5,22,3165,87,38,4879,17324,1,26,620,600,12606,18199,30805
University of South Florida,FL,49,74,68,78,1365620080,5,22,5444,92,31,6410,17324,1,30,660,660,21330,29296,50626
Columbus State University,GA,78,38,37,39,120803475,8,17,919,97,52,6241,17295,5,23,550,530,3177,5195,8372
Westfield State University,MA,92,63,63,63,121209108,16,15,1039,88,33,11139,17219,5,25,580,560,2279,3116,5395
The University of Montana-Western,MT,52,47,40,53,22839608,17,14,167,91,42,5747,17209,1,21,570,550,464,870,1334
Saint Cloud State University,MN,73,45,41,48,165158000,15,19,1200,93,35,8779,17195,1,24,600,650,5363,6478,11841
Fayetteville State University,NC,79,36,32,38,114843420,6,17,661,92,75,5309,16917,1,20,510,490,2005,4721,6726
Bridgewater State University,MA,82,59,53,63,188781237,13,19,1575,94,40,10732,16872,5,26,580,560,4010,6641,10651
Fairmont State University,WV,94,35,33,38,54134921,12,15,742,96,46,7738,16814,1,22,570,540,1532,2316,3848
Louisiana Tech University,LA,64,61,55,70,183441270,5,23,1967,99,30,10065,16807,1,28,640,630,5686,5440,11126
Southern University and A & M College,LA,43,28,23,32,132986565,6,22,1305,98,80,9340,16720,1,20,533,510,2333,4584,6917
Troy University,AL,92,50,45,53,275875190,17,18,1365,94,47,8908,16708,1,25,565,540,6123,10374,16497
